website,brand,title,content
vogue,louis vuitton,Louis Vuitton,"Editor's note: This collection was originally presented in March 1998 in Paris and has been digitized as part of Vogue Runway's ongoing efforts to document historical fashion shows.  In the 1990s many heritage houses got makeovers as fashion increasingly corporatized. The trials and triumphs of John Galliano at Christian Dior and Alexander McQueen at Givenchy, for example, have been well documented. Marc Jacobs also ended up in Paris at a storied maison, but his remit was different. He was tasked with creating something from nothing—a ready-to-wear collection for a leather goods and accessory company which had never had one before. ""When Bernard Arnault asked me if I'd do it, it took me just about five seconds to say yes,"" Jacobs recalled in a 1998 interview with The Financial Times. ""Design is always subjective but quality is objective and that's what attracted me to Louis Vuitton.""  It so happened that Jacobs's debut, for fall 1998, coincided with Martin Margiela's for Hermès. The press dubbed this occasion ""The Battle of the Bags."" In so doing they made more noise than either designer, both of whom went in for different variations on simplicity. Jacobs's collection had an American in Paris vibe. There was almost a Puritanism to his spare shapes and limited palette. ""The collection of 50 outfits was so achingly hip, so New York minimal that its impact was severely muted,"" wrote The Guardian at the time. ""The clothes contain the sort of inverted snobbery that makes a secret society out of status. More shocking than Jacobs's understated approach was the fact that there was only one bag in the show, and it (like the clothes) had no visible logos. In introducing an entirely new category to Louis Vuitton's offering, Jacobs was starting at ground zero, and he translated that notion into designs as elemental and clean as the geometry of a trunk, an iconic LV piece that the designer referenced in a statement he contributed to the ""Backstage News & Notes"" feature that ran in the July 1998 issue of Vogue, which is reprinted below.  ""Marc on Vuitton""""I think people were expecting a lot of monograms. It's impossible to please everyone, but we started at zero—this was a company that had never done clothing before. The clothes were contemporary, classic, luxurious, a backdrop for a luggage company—utilitarian and practical. Was it too utilitarian for the French? Well, you know, one of the first Louis Vuitton trunks was gray and flat so it would be stackable. It was very practical; I mean, there's method to all this madness. Also, originally there was no monogram on the outside. Then Vuitton was copied so much he changed it to a stripe. Then a check. Then initials, which, by the way, were inspired by Japanese art in Paris at the time. I'm an expert on all of this now.  Vuitton is a luxury brand—it's functional, but it's also a status accessory. I decided status would be done my way, which is to say invisibly. That means the Vuitton logo is embossed on a messenger bag, white on white. For me that's what status is: It's absolutely not about another century or about decoration in an obvious way. The idea that everything has to be the same in fashion, that everyone has to follow one trend, that there is one kind of status is wrong. You can't compare a beaded dress to a simple cotton raincoat.  Also, I don't think of Louis Vuitton as French necessarily. It's international. I see Vuitton bags in airports all over the world. You look at Hello! magazine and there's John McEnroe in a white shirt, jeans, and a raincoat and carrying a Vuitton bag. That is the sexy, glamorous image of what Louis Vuitton should be."""
vogue,louis vuitton,How Ana de Armas’s Golden Globes Dress Channeled Old Hollywood,"As a nominee in the Best Actress in a Motion Picture Drama category at last night's Golden Globes, Ana de Armas was one of the evening's most-anticipated leading ladies. Her portrayal of Marilyn Monroe in Andrew Dominik's Blonde has been one of the most-discussed performances of the year. For the star, getting acknowledged by the Globes for the role made for a special night—especially given the part's challenges. ""What was most special about being a part of Blonde was the opportunity to work on a character that allowed me to push myself to my limits, and that made me work harder than ever,"" says de Armas. ""It taught me to be patient with the process and trust the team around me. It was the opportunity of a lifetime, and it changed my life forever.""  For the ceremony's red carpet, both de Armas and stylist Samantha McMillen wanted a formal look that paid homage to Marilyn Monroe's signature Old Hollywood style through a fresh modern lens. To do so, they landed on an architectural dress and jewelry from Louis Vuitton (she serves as a brand ambassador for the label). Designed by Nicolas Ghesquière, her strapless bustier gown featured a graphic front panel that was embroidered with 3D sequins in a geometric pattern. It took a total of 150 hours, 25 meters of silk, and 800 sequins to complete the design.  ""Even though it was black, it felt very light and effortless—in contrast with the beautiful modern centered panel in the front, with silver embroidery forming the unmistakable pattern of the Louis Vuitton flower,"" de Armas says. ""To me, it was elegant and made me feel comfortable and myself."" McMillen adds, ""It combined modern Louis Vuitton details with a classic Old Hollywood elegance. It was the perfect gown for this occasion and looked effortless.""  De Armas is no stranger to wearing Vuitton on the carpet, of course. Over the course of her press tour for Blonde, the star wore many statement gowns by the French label—her pleated pink gown from Venice being a standout. The star says she enjoys the art of working with the designer. ""Nicolas has a vision, and he is also a great collaborator. He always wants his people happy and feeling like themselves,"" says de Armas. ""For every red carpet we do, we share sketches, exchange ideas, and make little tweaks until the piece looks exactly how we like it. I think we complement each other very well because he understands my conservative side, and I love that he's a risk taker and pushes me in that direction.""  De Armas's beauty team—including makeup artist Mélanie Inglessis, hairstylist Jenny Cho, and manicurist Ashlie Johnson—wanted a simple look that ensured all eyes were on the dress. Inglessis wanted to create a Marilyn Monroe–inspired beauty look that combined classic glamour with a sense of ease and simplicity—just like her dress. ""We wanted her skin to be luminous, complemented by a sharp cat eye and a perfectly stained rosy-mauve lip,"" says Inglessis. ""She is wearing the [unreleased] shade Stolen Heart [by Estee Lauder], a matte rosy-mauve.""  As for what's next for de Armas? The actor is now right back to shooting her upcoming action-thriller film Ballerina, which exists in the John Wick universe and costars Keanu Reeves. She can't tell us much yet—but she teases just enough to get us excited. ""Ballerina is going to be a very fun movie, [with] lots of energy and stunning locations,"" says de Armas. ""[It's] action-packed with a great original dramatic story and a strong character at its core.""  Below, a closer look at de Armas's Golden Globes look."
vogue,louis vuitton,Louis Vuitton,"Rosalia jumped on the roof of a vintage yellow car and performed in a super-puffer and XXXL track pants, and Colm Dillane came out on stage in a green bucket hat with the whole menswear team. In between, there'd been a Louis Vuitton menswear collective composite of an event, collaged from Colm's ideas, the styling contributions of Ibrahim Kamara, a set conceived by the Gondry brothers—and a film by them which went out on LV channels, though was not seen by the audience—in a tent in the Cour Carrée du Louvre.  Attention grabbing communication combined with cult item creation is the giant luxury brand game these days. That's not just the case with the Louis Vuitton menswear department, of course, although this brand has entered a phase of taking special care over what's to be done about creative continuity since the tragic loss of the man who uniquely convened such a vast global community around it.  Bringing in Dillane with his can-do, cheerful, collaborative personality, and his Brooklyn self-taught anything-can-be-done hustle is one measure of the company's will to keep the flame of Virgil Abloh's legacy burning. In the official phrase, Dillane was ""embedded"" within the maison—that is, working with Abloh's remaining studio team. Along with Kamara, they actioned his ideas about re-doing classic menswear suiting and respecting the universal language of track suits, hoodies, and trainers at the same level—and with witty, surreal messaging and references to Black culture to go with it.  Another possibility is that the naive name and hand-drawn artwork of Dillane's own brand, KidSuper, had a bearing on it. His multicolored child-like paintings of people and domestic interiors were hyper-elaborated into Vuitton patchworked tracksuits and jacquarded onto a suit, formal coat, and a souvenir LV Keepall.  The link there is that Abloh always spoke about the importance of remembering and cherishing the child within the adult—a symbol to him of hope. And that turned out to be the trope that was conjured up again in the set for this show—rooms in a house in which a child had grown up to be a man.  As Rosalia sang, models could be seen behind her rummaging through a Louis Vuitton trunk to find packed-away childhood toys. Program notes detailed the idea of millennial rites of passage, teenage bedrooms, and early memories of playing on computers.  When the models emerged onto the runway at the perimeter of the set, they were wearing mash-ups of classical cuts, suits with twisted middles, and—it being the trend of the season—several long slim tailored coats. Dillane's input included faces patchworked in leather in neutral colors on LV monogram casual wear, backpacks, and a bucket hat.  The collective nature of the show—some of this, some of that, and a lot of individual items to chat about—made it hard to read as a coherent narrative. Above and beyond that, the maison's superb ability to innovate wildly luxurious techniques was in no doubt. What might happen next with LV remains to be seen. Dillane's graffiti in yellow on a gray topcoat seemed to say that: ""Blurry Vision of a Bright Future,"" it read."
vogue,louis vuitton,Pharrell Williams Named Louis Vuitton Men’s Creative Director,"This article originally appeared on Vogue Business. To receive the Vogue Business newsletter, sign up here.  Multi-hyphenate musician and entrepreneur Pharrell Williams will become Louis Vuitton's next artistic director of menswear, the brand confirmed on Tuesday, following a Wall Street Journal report.   The appointment fills one of fashion's most high-profile vacancies, open since Virgil Abloh died in November 2021. A flurry of names have been touted for the position, including designers Martine Rose, Grace Wales Bonner, Samuel Ross and Jonathan Anderson. KidSuper founder Colm Dillane is also thought to be in the running, having participated in the creation of Louis Vuitton's Autumn/Winter 2023 collection.   It marks the first big decision of Pietro Beccari, who, on 1 February, took the helm of  the world's largest luxury brand from outgoing CEO Michael Burke.  Williams is no stranger to fashion. He is co-owner of streetwear brand Human Made with Kenzo creative director Nigo; founder of the Billionaire Boys Club and Ice Cream streetwear brands; co-owner of G-Star Raw Denim; and a regular collaborator with Tiffany. The entrepreneur ventured into beauty with gender neutral brand Humanrace in 2021.  He is also a longtime friend of Chanel and served as a muse to the late Karl Lagerfeld and attended the recent Métiers d'art show in Dakar. He also attended the Off-White show in September in Paris.   Williams is also among those slated to unveil new design concepts at Moncler's latest Genius activation during London Fashion Week on 20 February. A representative for Williams could not be reached for comment for this story.  Additional reporting by Luke Leitch  Comments, questions or feedback? Email us at feedback@voguebusiness.com.  More on this topic:  After record year, LVMH chief Bernard Arnault is ""quite confident"" about 2023  Louis Vuitton leads the latest Vogue Business Index, driven by sustained consumer enthusiasm  With a standout men's show, Louis Vuitton CEO Michael Burke exits on a high note"
vogue,chanel,Coco’s Hollywood: The Chanel Cruise Is Heading to Los Angeles,"After recent stops in Monte Carlo and Provence, Chanel will unveil its next cruise collection in Los Angeles.  The show, which will take place on May 9th (that's the second Tuesday in May in case you're curious), is the second time the storied French maison has shown in the City of Angels. In 2007, Karl Lagerfeld staged an extravagant show for the cruise 2008 collection—even by Chanel standards—in a Santa Monica hangar with the models coming out of two giant Challenger 601 jets, which according to our review of the show, ""elicited a standing ovation before the first model hit the people mover.""   Chanel Cruise 2008  Chanel Cruise 2008  The set is likely to be a lot different this time around, the press release describes the first time Coco Chanel visited Los Angeles was in 1931, on the invitation of the producer Samuel Goldwyn, who asked her to dress Hollywood actresses. Does this mean the collection will pay homage to old Hollywood glamour? Either way, we'll be watching."
vogue,chanel,Apple Martin on Attending Her First Fashion Show ,"Yesterday's Chanel spring 2023 couture show in Paris was, unsurprisingly, a star-studded affair. A-listers such as Tilda Swinton, Marion Cotillard, and Vanessa Paradis were all in attendance. However, there was a new face among the celebrity-filled crowd. Apple Martin, the 18-year-old daughter of Chris Martin and Gwyneth Paltrow, took in her first fashion show from the front row. ""The Chanel Couture show was my first fashion experience, and I am so incredibly grateful to Chanel and their incredible team for having me,"" says Martin. ""It was so exciting to see the art in the designs, and the theme of the line emerge throughout the show.""    Martin's favorite looks were those that had an upbeat, youthful feel. ""My favorite looks from the show were the dropped-waist short tweed looks, and the white floor-length dresses,"" says Martin. ""I particularly loved look 40, 23, and 18."" Martin is a big fashion fan and follower, so it was only a matter of time before she got to witness a real-life show from one of her favorite labels. ""I really enjoy keeping up with fashion,"" Martin says. Ahead of the show, she paid a special visit to le19M, Chanel's new architectural space dedicated to showcasing its Métiers d'Art fashions and artisans.   Given her VIP seat at the show, Martin brought a fashion-forward look for the occasion. She wore a total look by Chanel including a black and white tweed dress with a matching jacket from the label's spring 2023 collection. In addition to a classic quilted bag and chunky loafers, she also wore fine jewelry pieces—including an 18-karat gold bracelet and necklace with diamonds—and a Première Edition Originale timepiece. ""I wanted my look to encapsulate Chanel's timelessness, while adding edge with a strong eye look,"" says Martin. ""My favorite part of the look was the combination of the loafers and the minidress. It's something that felt very true to my own style.""  Now that Martin has proven herself a fashion girl, something tells us we'll be seeing even more of her in the front rows—maybe even this upcoming fashion month. Of what one can expect of her style, Martin says you can expect classic, modern getups—with a twist. ""I can't say that I am super trendy,"" says Martin. ""I love sweaters and oversized cardigans, loafers, and a good pair of comfy Levis. The most important thing for me is feeling like my genuine self when wearing an outfit; I'm aiming for a mix of classic '90s and cool grandpa.""  Below, see how Martin got ready for her first Chanel Couture show."
vogue,chanel,Chanel’s Cool-Girl Waves Are Springtime’s Easiest Hair Trend,"Springtime's biggest hairstyle? Take notes from Chanel's spring 2023 show, where insouciant cool-girl waves floated over models's shoulders as they walked the runway. From soft waves to more defined curls, in true Chanel style, the hair was perfectly polished—not a flyaway in sight.  While the fashion house is known for its love of barrettes and hair bows, this time, there were few hair accessories to be seen. In their place were minimalistic center partings and low-key curls that felt more easy-breezy than in seasons past. On the front row, Vanessa Paradis and Sadie Sink both showed off their own take on the cool-girl waves, proving it's a trend to try for women of all ages.    A glossy red lip brought all the glamour, punctuating otherwise bare, healthy-looking complexions. It was a beauty look with just the right hint of je ne sais quois—one that could have been borrowed direct from the most chic residents of Paris.   For a similar style, get your hands on a pair of straighteners and try the S-wave technique. A hairdresser favorite, all you have to do is take a piece of hair, create an S-shape, and then press the straightener plates over the curve to set it. And voila, there you have it: hair worthy of the Chanel runway.  Jennifer Lopez Confirms Milky Nails Are the New French Manicure  What Are the Best Colognes for Men? Inside My Dizzying Quest to Find Them  20 Women Who Prove That Underarm Hair Is the Ultimate Show of Confidence  Wave Goodbye to Dark Circles With These Eye Creams  Sign up for Vogue's shopping newsletter The Get to receive the insider's guide to what to shop and how to wear it"
vogue,chanel,Chanel,"What could a conceptual camel be doing at Chanel couture? This puzzle—the first sight to greet the audience as they walked in—can easily be solved by googling Coco Chanel's apartment. What swiftly comes up are photos of Chanel at home in the Rue Cambon, with a model of a camel on a side-table, large bronzes of deer clustered around her fireplace, and lion effigies here, there, and everywhere. Virginie Viard held a tete-a-tete with the artist Xavier Veilhan to come up with a set idea for the spring couture show in said apartment and—you can picture it—they must've looked around and said to each other ""let's do the animals!""  Hey presto! A playful idea that got Viard into the swing of a theme—a parade of something between cute Chanel drum majorettes, or perhaps, circus ringmasters. They flipped along in their short, flared suits with the odd top hat and bow tie, shod in little white cross-laced boots with Chanel's signature black-tipped toes. By this time, they were walking around Veilhan's menagerie of mobile animal sculptures—a horse, lion, deer, buffalo, bird, fish, dog, and elephant—which had been trundled out to join the camel.  Still, it's not in Viard's nature as a creative director to push a concept over clothes. Instead, here was a collection of haute couture that felt youthfully relatable. The spectacle of her march of the majorettes simply became a device for freshening up the template of Chanel day suits, led out by a charming military-jacketed number in white.  That was followed by varieties of abbreviated, gilded Chanel tweeds: a short trapeze coat, de-frumpified box-pleated skirts cut as minis, and then a tiny sugar-pink coat-dress with a stand-away collar. It was a bit '60s Mod maybe, but not too obviously.  Proceeding ""not too obviously"" might actually be Viard's motto. So it was, when the collection switched from short and sweet daywear to long and slim evening. Within this sequence, there was a chic, neat, parma-violet short sleeved tweed coat, worn with white leather opera gloves, and long, body-skimming dresses in tiny polka dots, and black or white lace.  Asked afterward if she'd been thinking 1930s with these languid dresses, Viard looked as if vintage Chanel collections hadn't crossed her mind. ""No,"" she shrugged. ""That silhouette might make you think it, but no.""  Back to her reticence about committing to themes, again. Of course, there's no rule that designers should have to stick to high concepts. Sometimes, truth be told, they can really get in the way of designers just designing clothes for modern life. Instead, Viard is a ""modern wardrobe for real women"" kind of a designer. Her collections aren't fantasy, even if she well knows how to conjure up the magic of the couture ateliers to make pieces that look like snowy, frothy whipped cream.  And then, at the finale, out popped the bride from a hidden door in the elephant. She was wearing a little white dress entirely covered with embroidered doves and a white bow tie. It was a light-touch moment, simple and rather charming. Much like the spirit of the rest of the show."
vogue,dior,Dior Men,"Kim Jones has been turning to his extensive collection of rare books once again. He brought in Robert Pattinson and Gwendoline Christie to recite The Waste Land, T.S. Eliot's epically difficult, melancholic poem written in the aftermath of World War I. Jones owns six copies of this work of English literature which is considered to be pivotal to the modernism of exactly a century ago; so there were the faces of Pattinson and Christie, filmed by Baillie Walsh, and blown up on massive screens as the models walked past.  All that's just to fill in the background. What Jones took from the meaning of this most British of works, the school exam subject which has tortured the brains of generations of teenagers, was to do with its themes of time passing, death and renewal. ""For me, I read it as about renewal and change; times changing,"" he said before the show. ""So it begins with Christian Dior dying, and then Yves Saint Laurent coming in and suddenly doing new things. And there's a lot of me in it.""  To parse the fashion stanzas: there were pale, neutral colors, a looseness and fluidity, layerings of transparent trails streaming from the backs of trousers (a trend, oddly, that's been turning up in several shows). There was a moment for jackets and sweaters embroidered with tiny chains of abstracted lily of the valley, the early spring flower-favorite of Christian Dior. Then, as Christie and Pattinson spoke Eliot's passages on death by drowning, there were conceptual life jackets with tonally matched buoyancy pads, riffs on seafarer's Aran knits, voluminous A-line storm coats, takes on yellow seafaring oilskin raincoats, and sou'westers.  The references to Saint Laurent's time at Dior—it was fleeting, in 1958—were anchored in Jones's study of the gray over-the-head wool tunic he made; itself a revolutionary reference to fisherman's traditional workwear, but transgressively (for the time) upgraded to haute couture. Jones said he'd also examined the young Yves's penchant for animal print (there was a faux leopard lining visible in a slash-sided trench coat), and how he created volumes with vents in his raincoats.  It was more of a flavor, perhaps a nod to fashion history geeks (both old and young—competitive discussion of references is very much becoming a TikTok and Instagram video thing) rather than any straight-up replication of past looks. As for the ‘Me' element Jones spoke about, that was surely in the evolution of the distinctively tailored suit that is his alone—the minimal, lapel-less single-breasted jacket over flowing trousers. It has both a captivating sensitivity and an elegance about it.  Over the long run, Jones has been a pioneer in bringing street references into high fashion, and then insisting on applying Christian Dior's women's templates to menswear. As times move on, it's a measure of Jones's influence that the skirts—and shorts so wide that they look like skirts—in this show now pass as quite normal. He's working in 2023, not 1923, like T.S. Eliot. English academics the world over might be aghast at Eliot's poetry being used in a fashion show, but the two Britishers at least have this in common: being out to change the discipline they work in, mediating between history and the future."
vogue,dior,How Yara Shahidi Got Her Modern Flapper Beauty for Dior’s Couture Show,"When preparing to attend a couture show, there are myriad paths to take on the style front. Exaggerated? The better to echo the general air of the shows. Understated? Allowing the striking silhouettes to do the talking. Or—even better—a balance of the two? For Dior's Spring 2023 Couture showing, Yara Shahidi played off of the collection's inspiration, her woven tulle mini and trademark curls bringing to mind a contemporary flapper in the vein of Dior muse Josephine Baker.   ""My forever first step before starting hair and makeup is to do a self-care check-in,"" says Shahidi, who joined stylist Jason Bolden, hairstylist SherriAnn Cole, and makeup artist Emily Cheng for her pre-event glam. ""When I feel good, I love how I look!"" To play up the actor's texturized dress, Cole cultivated Shahidi's cloud of curls, keeping the crown as buoyant and fluid as the edgings of fabric. Makeup centered on soft neutrals, with Diorshow Iconic Overcurl serving lift and drama, the lip a study in careful coordination. Cheng also looked to the dress for guidance, echoing the palette while playing up Shahidi's natural bone structure. Brushed-up brows, neutral shadow, and a dusting of bronzer ensured the moment was an entirely warm one, Cheng's addition of Dior Rouge Blush in 459 Charnelle providing a balancing, youthful swirl of pink.   ""Makeup artist extraordinaire Emily Cheng chose colors that complement my dress,"" says Shahidi, whose own luminous skin and ready smile lent to the liveliness of the look. All in all, Shahidi's beauty embodied the spirit of the collection and of the actor herself: effervescent and effortlessly glamorous.   The most exciting part of getting ready is discovering inspiration from all that is around us!  Taking our time to apply lip liner, lipstick, and balm gives me color that lasts!  Jason Bolden, my incredible stylist, helps me communicate how I want to feel...through theclothes that he presents to me! We have lots of conversations that always seem to end with awonderful clothing adventure!  Finishing off my look with Diorshow Iconic Overcurl because it's featherlight and appliesbeautifully."
